961	0
962	0
963	1
964	0
965	0
966	0
967	0
968	0
969	1
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	1
987	0
988	1
989	0
990	0
991	0
992	0
993	0
994	0
995	1
996	0
997	0
998	0
999	0
1000	1
1001	0
1002	1
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	1
1018	1
1019	0
1020	0
1021	0
1022	1
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	1
1035	0
1036	1
1037	0
1038	1
1039	0
1040	0
1041	0
1042	0
1043	0
1044	0
1045	1
1046	1
1047	0
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	0
1055	0
1056	0
1057	0
1058	0
1059	0
1060	0
1061	1
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	1
1070	0
1071	0
1072	0
1073	1
1074	0
1075	1
1076	0
1077	0
1078	0
1079	0
1080	0
1081	0
1082	0
1083	1
1084	0
1085	0
1086	0
1087	1
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	1
1099	0
1100	1
1101	0
1102	0
1103	1
1104	0
1105	0
1106	1
1107	0
1108	0
1109	0
1110	1
1111	0
1112	0
1113	1
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	1
1128	0
1129	0
1130	1
1131	0
1132	1
1133	0
1134	0
1135	0
1136	1
1137	1
1138	0
1139	1
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	1
1162	0
1163	0
1164	1
1165	1
1166	1
1167	0
1168	0
1169	1
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	0
1183	1
1184	1
1185	0
1186	1
1187	0
1188	1
1189	0
1190	1
1191	1
1192	0
1193	0
1194	1
1195	0
1196	0
1197	0
1198	0
1199	0
1200	1
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	1
1208	0
1209	0
1210	1
1211	0
1212	0
1213	1
1214	1
1215	0
1216	1
1217	1
1218	0
1219	1
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	0
1237	0
1238	1
1239	1
1240	1
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	1
1248	1
1249	0
1250	0
1251	0
1252	0
1253	0
1254	1
1255	0
1256	1
1257	1
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	1
1265	0
1266	0
1267	0
1268	0
1269	0
1270	0
1271	1
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	0
1293	0
1294	0
1295	0
1296	1
1297	0
1298	0
1299	0
1300	0
1301	0
1302	0
1303	0
1304	0
1305	0
1306	1
1307	0
1308	1
1309	0
1310	0
1311	0
1312	0
1313	0
1314	1
1315	0
1316	0
1317	0
1318	0
1319	0
1320	1
1321	0
1322	0
1323	0
1324	0
1325	1
1326	0
1327	0
1328	1
1329	0
1330	0
1331	0
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	1
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	1
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	1
1368	0
1369	0
1370	1
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	1
1385	0
1386	1
1387	0
1388	0
1389	0
1390	0
1391	0
1392	1
1393	0
1394	0
1395	0
1396	0
1397	0
1398	1
1399	0
1400	1
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	1
1420	0
1421	1
1422	0
1423	0
1424	0
1425	0
1426	0
1427	1
1428	1
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	1
1441	0
1442	0
1443	0
1444	0
1445	1
1446	0
1447	1
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	1
1459	0
1460	0
1461	0
1462	0
1463	1
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	1
1479	0
1480	0
1481	1
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	0
1493	1
1494	0
1495	0
1496	0
1497	0
1498	0
1499	1
1500	0
1501	0
1502	0
1503	1
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	1
1512	0
1513	0
1514	1
1515	1
1516	0
1517	0
1518	1
1519	0
1520	1
1521	1
1522	0
1523	0
1524	0
1525	0
1526	1
1527	1
1528	0
1529	0
1530	0
1531	0
1532	0
1533	0
1534	1
1535	0
1536	0
1537	0
1538	0
1539	0
1540	0
1541	1
1542	0
1543	0
1544	0
1545	1
1546	0
1547	0
1548	0
1549	0
1550	1
1551	1
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	0
1560	0
1561	1
1562	0
1563	0
1564	0
1565	0
1566	0
1567	1
1568	0
1569	0
1570	0
1571	0
1572	0
1573	1
1574	0
1575	0
1576	1
1577	1
1578	0
1579	0
1580	0
1581	0
1582	0
1583	0
1584	1
1585	0
1586	0
1587	0
1588	0
1589	1
1590	0
1591	0
1592	0
1593	1
1594	0
1595	0
1596	0
1597	0
1598	0
1599	0
1600	0
