641	0
642	0
643	0
644	0
645	1
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	1
665	0
666	0
667	0
668	0
669	0
670	1
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	1
682	0
683	0
684	0
685	0
686	1
687	0
688	0
689	0
690	0
691	0
692	1
693	0
694	0
695	0
696	1
697	0
698	0
699	0
700	1
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	1
711	0
712	0
713	0
714	0
715	0
716	1
717	0
718	0
719	0
720	0
721	0
722	1
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	1
731	0
732	1
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	1
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	1
757	0
758	1
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	1
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	1
787	0
788	0
789	1
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	1
809	0
810	0
811	0
812	1
813	0
814	0
815	0
816	1
817	0
818	0
819	0
820	0
821	0
822	1
823	0
824	1
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	1
840	1
841	1
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	1
867	0
868	0
869	0
870	0
871	0
872	1
873	0
874	0
875	0
876	0
877	0
878	0
879	1
880	0
881	0
882	1
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	1
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	1
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	1
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	1
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	1
959	0
960	1
